Rank,Release Group,Worldwide,Domestic,%,Foreign,%
109,The Duke,"$14,222,161","$1,526,970",10.7%,"$12,695,191",89.3%
110,Sarkaru Vaari Paata,"$14,199,018",-,-,"$14,199,018",100%
111,Bodies Bodies Bodies,"$13,903,522","$11,446,602",82.3%,"$2,456,920",17.7%
112,Memory,"$13,897,255","$7,329,043",52.7%,"$6,568,212",47.3%
113,Triangle of Sadness,"$13,795,530","$3,816,422",27.7%,"$9,979,108",72.3%
114,Valimai,"$13,276,393",-,-,"$13,276,393",100%
115,Simone: Woman of the Century,"$13,080,967",-,-,"$13,080,967",100%
116,Easter Sunday,"$13,071,438","$13,013,690",99.6%,"$57,748",0.4%
117,Land of Legends,"$12,745,560",-,-,"$12,745,560",100%
118,Guglhupfgeschwader,"$12,307,072",-,-,"$12,307,072",100%
119,"Utapri Movie 2, Uta No Prince-Sama Maji Love Starish Tours Movie","$12,291,650",-,-,"$12,291,650",100%
120,Alienoid,"$12,067,556","$168,309",1.4%,"$11,899,247",98.6%
121,Moonage Daydream,"$11,908,054","$4,218,925",35.4%,"$7,689,129",64.6%
122,Jug Jugg Jeeyo,"$11,467,726","$1,033,000",9%,"$10,434,726",91%
123,Bergen,"$11,325,405",-,-,"$11,325,405",100%
124,Laal Singh Chaddha,"$11,253,122","$3,401,324",30.2%,"$7,851,798",69.8%
125,Terrifier 2,"$11,226,453","$10,596,080",94.4%,"$630,373",5.6%
126,The Chosen Season 3: Episode 1 & 2,"$11,193,357","$11,193,357",100%,-,-
127,Men,"$11,152,071","$7,587,853",68%,"$3,564,218",32%
128,Jurassic Park 2022 Re-release,"$10,374,018",-,-,"$10,374,018",100%
129,The Pirates: The Last Royal Treasure,"$10,258,331",-,-,"$10,258,331",100%
130,Warriors of Future,"$10,244,600",-,-,"$10,244,600",100%
131,Rise,"$10,179,767",-,-,"$10,179,767",100%
132,Vaillante,"$10,143,170",-,-,"$10,143,170",100%
133,Chickenhare and the Hamster of Darkness,"$10,089,674",-,-,"$10,089,674",100%
134,Smack Dab Kakha,"$9,995,945",-,-,"$9,995,945",100%
135,F3: Fun and Frustration,"$9,849,193","$1,195,000",12.1%,"$8,654,193",87.9%
136,Table for Six,"$9,761,840",-,-,"$9,761,840",100%
137,Talk to Her Undated France Release,"$9,541,068",-,-,"$9,541,068",100%
138,Redeeming Love,"$9,464,198","$9,214,020",97.4%,"$250,178",2.6%
139,Pearl,"$9,423,445","$9,423,445",100%,-,-
140,Till,"$8,645,508","$8,645,508",100%,-,-
141,Samrat Prithviraj,"$8,568,339",-,-,"$8,568,339",100%
142,Rheingold,"$8,435,761",-,-,"$8,435,761",100%
143,Don,"$8,287,406",-,-,"$8,287,406",100%
144,Vikram Vedha,"$8,234,166","$1,589,362",19.3%,"$6,644,804",80.7%
145,"Good Luck to You, Leo Grande","$8,192,913",-,-,"$8,192,913",100%
146,Life Is Beautiful,"$8,122,817",-,-,"$8,122,817",100%
147,Acharya,"$8,048,175","$832,000",10.3%,"$7,216,175",89.7%
148,[REC] Terror sin pausa,"$8,041,419",-,-,"$8,041,419",100%
149,Ducobu Président !,"$7,858,171",-,-,"$7,858,171",100%
150,Even if This Love Disappears from the World Tonight,"$7,810,235",-,-,"$7,810,235",100%
151,Chempion mira,"$7,718,753",-,-,"$7,718,753",100%
152,Finnick,"$7,537,158",-,-,"$7,537,158",100%
153,777 Charlie,"$7,523,995",-,-,"$7,523,995",100%
154,Bachchhan Paandey,"$7,387,882",-,-,"$7,387,882",100%
155,Lesson in Murder,"$7,348,964",-,-,"$7,348,964",100%
156,Laid-Back Camp: The Movie,"$7,298,722",-,-,"$7,298,722",100%
157,Osomatsusan the Movie 2022 Re-release,"$7,297,522",-,-,"$7,297,522",100%
158,Karada Sagashi,"$7,205,993",-,-,"$7,205,993",100%
159,Mobile Suit Gundam: Cucuruz Doan's Island,"$7,006,640",-,-,"$7,006,640",100%
160,Menteur 2022 Re-release,"$6,899,633",-,-,"$6,899,633",100%
161,Rabbit Academy,"$6,744,299",-,-,"$6,744,299",100%
162,Sword Art Online: Progressive - Scherzo of Deep Night,"$6,719,096",-,-,"$6,719,096",100%
163,How About Adolf?,"$6,612,082",-,-,"$6,612,082",100%
164,National Theatre Live: Prima Facie,"$6,558,843",-,-,"$6,558,843",100%
165,Honest Candidate 2,"$6,433,696",-,-,"$6,433,696",100%
166,"Farewell, Mr. Haffmann","$6,408,729",-,-,"$6,408,729",100%
167,Cyrano,"$6,395,311","$3,873,124",60.6%,"$2,522,187",39.4%
168,Marcel the Shell with Shoes On,"$6,336,735","$6,333,702",100%,"$3,033",<0.1%
169,The New Toy,"$6,324,794",-,-,"$6,324,794",100%
170,The Exorcism of God,"$6,097,738",-,-,"$6,097,738",100%
171,Notre-Dame on Fire,"$6,058,003",-,-,"$6,058,003",100%
172,Kingmaker,"$6,049,522",-,-,"$6,049,522",100%
173,Vikrant Rona,"$6,020,595",-,-,"$6,020,595",100%
174,Last Seen Alive,"$5,950,199",-,-,"$5,950,199",100%
175,The Policeman's Lineage,"$5,869,939",-,-,"$5,869,939",100%
176,The One,"$5,867,726",-,-,"$5,867,726",100%
177,Maigret,"$5,797,633",-,-,"$5,797,633",100%
178,Goliath,"$5,797,270",-,-,"$5,797,270",100%
179,Radiation House,"$5,793,450",-,-,"$5,793,450",100%
180,Bheeshma Parvam,"$5,779,651",-,-,"$5,779,651",100%
181,Fireheart,"$5,755,077","$49,848",0.9%,"$5,705,229",99.1%
182,Irréductible,"$5,704,956",-,-,"$5,704,956",100%
183,Jaws 2022 Re-release,"$5,631,817","$5,100,765",90.6%,"$531,052",9.4%
184,The One 2022 Re-release,"$5,624,487",-,-,"$5,624,487",100%
185,Artek: Bolshoe puteshestvie,"$5,479,842",-,-,"$5,479,842",100%
186,Thiruchitrambalam,"$5,342,111",-,-,"$5,342,111",100%
187,The Crooked Lines of God,"$5,340,754",-,-,"$5,340,754",100%
188,Mama's Affair,"$5,274,923",-,-,"$5,274,923",100%
189,Lifemark,"$5,274,246","$5,180,537",98.2%,"$93,709",1.8%
190,The Wandering Moon,"$5,262,479",-,-,"$5,262,479",100%
191,Les Segpa,"$5,212,123",-,-,"$5,212,123",100%
192,Confession,"$5,168,537",-,-,"$5,168,537",100%
193,Mascarade,"$5,129,465",-,-,"$5,129,465",100%
194,The Cherry Bushido,"$5,122,729","$17,586",0.3%,"$5,105,143",99.7%
195,Bibi & Tina: Einfach Anders,"$5,121,884",-,-,"$5,121,884",100%
196,Delicious Party Pretty Cure: Dreaming Children's Lunch!,"$5,095,929",-,-,"$5,095,929",100%
197,My Boyfriend in Orange,"$5,039,477",-,-,"$5,039,477",100%
198,Tár,"$4,977,113","$4,977,113",100%,-,-
199,Major,"$4,961,424",-,-,"$4,961,424",100%
200,War Sailor,"$4,955,558",-,-,"$4,955,558",100%
